,SE_NUMBER,TIME,BID_PRICE,PRICE,DATE
294,1,08:40,56.300,56.800,07-11-2020
295,,,,,08-11-2020
296,1,10:05,56.400,56.900,09-11-2020
297,1,09:00,55.600,56.150,10-11-2020
298,1,09:55,55.850,56.350,11-11-2020
299,1,08:30,55.800,56.300,12-11-2020
300,1,10:20,55.900,56.400,13-11-2020
301,1,08:40,55.900,56.400,14-11-2020
302,,,,,15-11-2020
303,1,09:20,55.950,56.450,16-11-2020
304,1,09:35,55.850,56.350,17-11-2020
305,1,13:50,55.700,56.200,18-11-2020
306,1,13:00,55.750,56.200,19-11-2020
307,1,08:35,55.700,56.150,20-11-2020
308,1,08:30,55.750,56.200,21-11-2020
309,,,,,22-11-2020
310,1,10:20,55.750,56.200,23-11-2020
311,1,08:30,55.200,55.650,24-11-2020
312,1,08:35,54.800,55.250,25-11-2020
313,1,08:35,54.250,54.800,26-11-2020
314,1,09:00,54.500,55.000,27-11-2020
315,1,08:40,54.150,54.700,28-11-2020
316,,,,,29-11-2020
317,1,08:35,53.880,54.430,30-11-2020
318,1,08:50,53.100,53.700,01-12-2020
319,1,08:30,54.100,54.750,02-12-2020
320,1,08:35,54.550,55.200,03-12-2020
321,1,08:50,54.750,55.400,04-12-2020
322,1,08:35,54.600,55.250,05-12-2020
323,,,,,06-12-2020
324,1,08:30,54.550,55.100,07-12-2020
325,1,11:05,55.050,55.600,08-12-2020
326,1,08:45,54.950,55.500,09-12-2020
327,1,09:10,54.500,55.100,10-12-2020
328,1,08:30,54.750,55.250,11-12-2020
329,1,08:50,54.750,55.250,12-12-2020
330,,,,,13-12-2020
331,1,13:00,54.700,55.200,14-12-2020
332,1,09:40,54.650,55.150,15-12-2020
333,1,08:40,54.850,55.350,16-12-2020
334,1,08:50,55.000,55.500,17-12-2020
335,1,15:15,55.050,55.550,18-12-2020
336,,,,,19-12-2020
337,,,,,20-12-2020
338,1,08:55,55.200,55.700,21-12-2020
339,1,08:45,55.150,55.650,22-12-2020
340,1,13:55,55.000,55.500,23-12-2020
341,1,10:45,55.250,55.750,24-12-2020
342,1,08:40,55.300,55.800,25-12-2020
343,,,,,26-12-2020
344,,,,,27-12-2020
345,1,09:05,55.400,55.900,28-12-2020
346,1,10:20,55.200,55.700,29-12-2020
347,1,08:30,55.450,55.950,30-12-2020
348,1,08:35,55.550,56.100,31-12-2020
349,,,,,01-01-2021
350,1,08:50,55.600,56.150,02-01-2021
351,,,,,03-01-2021
352,1,08:45,55.800,56.350,04-01-2021
353,1,10:20,56.350,56.900,05-01-2021
354,1,09:05,56.700,57.250,06-01-2021
355,1,08:30,56.400,56.950,07-01-2021
356,1,08:30,56.200,56.700,08-01-2021
357,1,08:40,55.300,56.000,09-01-2021
358,,,,,10-01-2021
